Name,Age,Occupation,Annual Income (INR),Credit Score (300-850),Lender,Loan Purpose,Approved Loan Amount (INR),Months of Payment,Interest Rate (%),Monthly EMI (INR),DTI Ratio,Loan Status (Pass/Rejected)
Person 0001,28,Retail Manager,464368,831,State Bank of India,Medical Emergency,798376,24,5.9,35349,0.913,Rejected
Person 0002,64,CEO,42483570,850,Bajaj Finserv,Travel/Vacation,1052728,24,6.48,46886,0.013,Pass
Person 0003,74,Retired (Pension),181737,850,Kotak Mahindra Bank,Wedding Expenses,1461692,48,3.87,32919,2.174,Rejected
Person 0004,32,Freelance Designer,958718,811,Bajaj Finserv,Home Renovation,551682,36,3.2,16092,0.201,Pass
Person 0005,32,Software Engineer,1682127,850,Bajaj Finserv,Debt Consolidation,737919,60,6.49,14435,0.103,Pass
Person 0006,31,Software Engineer,2571140,829,State Bank of India,Debt Consolidation,670794,60,7.97,13592,0.063,Pass
Person 0007,43,Software Engineer,1999560,850,ICICI Bank,Debt Consolidation,885232,72,9.35,16111,0.097,Pass
Person 0008,24,University Student,57530,806,HDFC Bank,Vehicle Purchase,474467,36,4.9,14199,2.962,Rejected
Person 0009,32,Construction Worker,564496,782,Axis Bank,Education (Tuition/Fees),583037,60,9.23,12168,0.259,Pass
Person 0010,70,Retired (Pension),116441,801,Bajaj Finserv,Wedding Expenses,447256,24,8.28,20285,2.091,Rejected
Person 0011,28,Software Engineer,2119382,764,Axis Bank,Debt Consolidation,488432,48,10.45,12494,0.071,Pass
Person 0012,52,CEO,39308678,850,ICICI Bank,Travel/Vacation,639980,18,9.56,38306,0.012,Pass
Person 0013,20,University Student,0,834,Axis Bank,Vehicle Purchase,1438086,60,3.92,26433,26432.656,Rejected
Person 0014,51,Doctor,1062541,811,Bajaj Finserv,Debt Consolidation,908208,72,7.47,15690,0.177,Pass
Person 0015,26,Software Engineer,3793747,839,State Bank of India,Debt Consolidation,823334,60,7.79,16612,0.053,Pass
Person 0016,36,Software Engineer,1579902,833,Axis Bank,Debt Consolidation,1285006,72,7.08,21957,0.167,Pass
Person 0017,27,Retail Manager,1276247,842,ICICI Bank,Medical Emergency,919651,36,5.33,27699,0.26,Pass
Person 0018,23,Freelance Designer,985937,850,ICICI Bank,Home Renovation,950195,60,8.46,19476,0.237,Pass
Person 0019,25,High School Teacher,807675,824,State Bank of India,Medical Emergency,682958,24,3.53,29515,0.439,Pass
Person 0020,33,Retail Manager,1982681,812,Axis Bank,Medical Emergency,645116,24,4.29,28097,0.17,Pass
Person 0021,47,Construction Worker,375096,846,Axis Bank,Education (Tuition/Fees),510507,60,5.45,9739,0.312,Pass
Person 0022,36,Software Engineer,1545791,846,HDFC Bank,Debt Consolidation,653315,60,6.12,12667,0.098,Pass
Person 0023,46,Retail Manager,1806778,832,Kotak Mahindra Bank,Medical Emergency,730260,24,6.13,32408,0.215,Pass
Person 0024,38,Retail Manager,1511394,850,ICICI Bank,Medical Emergency,907307,36,4.78,27103,0.215,Pass
Person 0025,34,High School Teacher,296130,821,HDFC Bank,Home Renovation,794772,48,3.06,17613,0.714,Rejected
Person 0026,21,University Student,99784,812,ICICI Bank,Wedding Expenses,709087,36,5.42,21386,2.572,Rejected
Person 0027,40,Software Engineer,1893262,838,HDFC Bank,Debt Consolidation,586461,60,7.11,11643,0.074,Pass
Person 0028,36,Freelance Designer,853925,816,Kotak Mahindra Bank,Home Renovation,924606,60,5.39,17614,0.248,Pass
Person 0029,36,Freelance Designer,917528,839,HDFC Bank,Home Renovation,677192,48,4.83,15543,0.203,Pass
Person 0030,43,Software Engineer,2657212,813,ICICI Bank,Debt Consolidation,910190,72,6.34,15231,0.069,Pass
Person 0031,33,Construction Worker,457655,821,Axis Bank,Education (Tuition/Fees),414190,48,3.09,9184,0.241,Pass
Person 0032,44,Software Engineer,594772,850,ICICI Bank,Debt Consolidation,904694,72,9.29,16438,0.332,Pass
Person 0033,27,Software Engineer,227555,821,Bajaj Finserv,Debt Consolidation,1043358,72,6.68,17628,0.93,Rejected
Person 0034,22,University Student,5928,814,State Bank of India,Consumer Durable/Tech,998218,36,6.02,30377,61.491,Rejected
Person 0035,63,CEO,43238442,850,State Bank of India,Travel/Vacation,751794,18,4.98,43432,0.012,Pass
Person 0036,24,University Student,54515,808,Bajaj Finserv,Vehicle Purchase,1106158,60,4.42,20582,4.531,Rejected
Person 0037,42,Retail Manager,1591079,816,State Bank of India,Medical Emergency,517354,12,6.14,44560,0.336,Pass
Person 0038,33,Software Engineer,1330307,841,State Bank of India,Debt Consolidation,780356,60,9.15,16256,0.147,Pass
Person 0039,28,Construction Worker,431125,848,Kotak Mahindra Bank,Education (Tuition/Fees),752695,72,3.34,11551,0.322,Pass
Person 0040,42,High School Teacher,33568,850,Axis Bank,Medical Emergency,1153640,36,5.01,34581,12.362,Rejected
Person 0041,28,Software Engineer,492861,815,Axis Bank,Debt Consolidation,399053,48,7.6,9667,0.235,Pass
Person 0042,38,High School Teacher,509768,841,ICICI Bank,Home Renovation,557359,36,3.94,16441,0.387,Pass
Person 0043,42,Software Engineer,1460134,820,Bajaj Finserv,Debt Consolidation,1476739,72,8.09,25957,0.213,Pass
Person 0044,19,University Student,108220,817,HDFC Bank,Consumer Durable/Tech,346074,12,5.19,29657,3.288,Rejected
Person 0045,30,Retail Manager,1324445,850,ICICI Bank,Medical Emergency,1068045,36,5.93,32458,0.294,Pass
Person 0046,47,Construction Worker,707888,819,ICICI Bank,Education (Tuition/Fees),631150,60,3.99,11621,0.197,Pass
Person 0047,42,Retail Manager,1681903,835,ICICI Bank,Medical Emergency,879376,36,3.86,25908,0.185,Pass
Person 0048,23,Freelance Designer,854853,833,ICICI Bank,Home Renovation,1315280,60,3.6,23986,0.337,Pass
Person 0049,41,Freelance Designer,507555,808,Axis Bank,Home Renovation,891269,60,3.48,16206,0.383,Pass
Person 0050,39,Software Engineer,2201999,849,HDFC Bank,Debt Consolidation,1324740,72,8.12,23305,0.127,Pass
Person 0051,51,CEO,47615149,841,ICICI Bank,Travel/Vacation,678453,18,8.43,40257,0.01,Pass
Person 0052,21,University Student,96283,790,Axis Bank,Wedding Expenses,710258,36,8.13,22300,2.779,Rejected
Person 0053,22,University Student,51716,835,ICICI Bank,Consumer Durable/Tech,1057864,36,6.5,32422,7.523,Rejected
Person 0054,24,University Student,31875,814,State Bank of India,Consumer Durable/Tech,690977,24,5.81,30565,11.507,Rejected
Person 0055,24,Freelance Designer,829576,850,ICICI Bank,Home Renovation,990559,60,5.59,18962,0.274,Pass
Person 0056,23,University Student,97375,801,Bajaj Finserv,Consumer Durable/Tech,1214278,36,4.29,36007,4.437,Rejected
Person 0057,41,Software Engineer,1087400,822,Bajaj Finserv,Debt Consolidation,1088318,72,4.51,17281,0.191,Pass
Person 0058,28,Software Engineer,658538,837,ICICI Bank,Debt Consolidation,465186,48,10.31,11868,0.216,Pass
Person 0059,42,Software Engineer,1855469,831,Kotak Mahindra Bank,Debt Consolidation,714944,60,5.57,13679,0.088,Pass
Person 0060,29,Retail Manager,1906351,845,State Bank of India,Medical Emergency,887755,36,5.64,26863,0.169,Pass
Person 0061,25,Retail Manager,953645,799,HDFC Bank,Medical Emergency,739541,24,9.13,33830,0.426,Pass
Person 0062,23,Retail Manager,1719859,850,ICICI Bank,Medical Emergency,827478,24,7.84,37364,0.261,Pass
Person 0063,23,University Student,83734,840,HDFC Bank,Vehicle Purchase,891810,60,2.44,15804,2.265,Rejected
Person 0064,27,Retail Manager,1972973,850,State Bank of India,Medical Emergency,670434,24,5.56,29581,0.18,Pass
Person 0065,43,Retail Manager,1433959,847,ICICI Bank,Medical Emergency,752605,24,3.8,32615,0.273,Pass
Person 0066,31,Freelance Designer,940122,829,Kotak Mahindra Bank,Home Renovation,534113,36,5.12,16037,0.205,Pass
Person 0067,28,Software Engineer,2490034,804,Axis Bank,Debt Consolidation,681877,60,7.76,13748,0.066,Pass
Person 0068,23,University Student,19081,818,Kotak Mahindra Bank,Vehicle Purchase,473656,36,4.21,14029,8.822,Rejected
Person 0069,42,Software Engineer,444021,850,Kotak Mahindra Bank,Debt Consolidation,838200,60,7.13,16649,0.45,Rejected
Person 0070,56,CEO,38829233,850,Axis Bank,Travel/Vacation,752695,18,5.57,43685,0.014,Pass
Person 0071,19,University Student,10255,817,Axis Bank,Wedding Expenses,585650,36,8.93,18604,21.77,Rejected
Person 0072,34,Software Engineer,2456185,773,Bajaj Finserv,Debt Consolidation,1496381,72,11.13,28582,0.14,Pass
Person 0073,28,Software Engineer,2453844,825,Axis Bank,Debt Consolidation,739180,60,8.3,15094,0.074,Pass
Person 0074,23,University Student,0,824,ICICI Bank,Vehicle Purchase,889197,60,4.18,16448,16448.244,Rejected
Person 0075,75,Retired (Pension),301793,825,HDFC Bank,Wedding Expenses,644846,36,5.14,19367,0.77,Rejected
Person 0076,74,Retired (Pension),223448,840,Bajaj Finserv,Wedding Expenses,697014,36,3.36,20381,1.095,Rejected
Person 0077,23,University Student,57701,847,Bajaj Finserv,Wedding Expenses,900910,48,7.6,21825,4.539,Rejected
Person 0078,32,Software Engineer,2563268,849,HDFC Bank,Debt Consolidation,717196,60,6.17,13922,0.065,Pass
Person 0079,42,Retail Manager,1880280,838,Bajaj Finserv,Medical Emergency,805854,24,6.32,35832,0.229,Pass
Person 0080,40,Software Engineer,2774784,793,Axis Bank,Debt Consolidation,1065252,72,9.59,19515,0.084,Pass
Person 0081,22,University Student,45865,823,Kotak Mahindra Bank,Vehicle Purchase,672416,48,5.9,15761,4.124,Rejected
Person 0082,39,Construction Worker,511957,850,State Bank of India,Education (Tuition/Fees),506812,60,2.88,9080,0.213,Pass
Person 0083,36,Retail Manager,2725861,837,Axis Bank,Medical Emergency,473746,12,7.12,41018,0.181,Pass
Person 0084,37,Software Engineer,3561611,837,Kotak Mahindra Bank,Debt Consolidation,1326542,72,6.8,22489,0.076,Pass
Person 0085,30,Retail Manager,1558262,837,Kotak Mahindra Bank,Medical Emergency,1112284,36,6.53,34106,0.263,Pass
Person 0086,36,Retail Manager,1757322,838,Bajaj Finserv,Medical Emergency,1010832,36,8.43,31877,0.218,Pass
Person 0087,72,Retired (Pension),175402,782,ICICI Bank,Wedding Expenses,691788,36,10.13,22364,1.53,Rejected
Person 0088,22,Construction Worker,387208,825,ICICI Bank,Education (Tuition/Fees),506632,48,4.01,11442,0.355,Pass
Person 0089,18,University Student,106809,829,Bajaj Finserv,Consumer Durable/Tech,729810,24,3.38,31491,3.538,Rejected
Person 0090,31,High School Teacher,710348,850,Bajaj Finserv,Home Renovation,779275,48,6.64,18531,0.313,Pass
Person 0091,33,Software Engineer,1515126,830,HDFC Bank,Debt Consolidation,543393,48,3.22,12081,0.096,Pass
Person 0092,83,Retired (Pension),266402,797,HDFC Bank,Wedding Expenses,483116,24,8.87,22042,0.993,Rejected
Person 0093,18,University Student,67952,838,State Bank of India,Wedding Expenses,441310,24,6.86,19731,3.484,Rejected
Person 0094,33,Freelance Designer,926287,813,State Bank of India,Home Renovation,1011372,60,4.22,18727,0.243,Pass
Person 0095,24,University Student,116711,805,State Bank of India,Wedding Expenses,529608,24,4.6,23140,2.379,Rejected
Person 0096,35,High School Teacher,840052,813,State Bank of India,Home Renovation,896225,60,3.51,16308,0.233,Pass
Person 0097,40,Freelance Designer,1056674,840,Kotak Mahindra Bank,Home Renovation,701068,48,4.5,15987,0.182,Pass
Person 0098,41,High School Teacher,507367,850,Kotak Mahindra Bank,Medical Emergency,987856,36,4.46,29368,0.695,Rejected
Person 0099,32,Software Engineer,1887657,839,HDFC Bank,Debt Consolidation,904514,72,7.04,15438,0.098,Pass
Person 0100,27,Software Engineer,1466849,842,ICICI Bank,Debt Consolidation,742604,60,9.92,15749,0.129,Pass
Person 0101,27,Software Engineer,1801581,839,Bajaj Finserv,Debt Consolidation,842255,60,7.93,17050,0.114,Pass
Person 0102,22,Construction Worker,304445,832,ICICI Bank,Education (Tuition/Fees),774680,72,3.17,11829,0.466,Pass
Person 0103,48,Retail Manager,1304777,843,Axis Bank,Medical Emergency,650072,24,7.44,29235,0.269,Pass
Person 0104,26,Freelance Designer,912491,781,Kotak Mahindra Bank,Home Renovation,1131296,60,8.6,23265,0.306,Pass
Person 0105,19,University Student,15131,832,State Bank of India,Consumer Durable/Tech,694941,24,5.76,30725,24.367,Rejected
Person 0106,36,Doctor,2222381,809,State Bank of India,Debt Consolidation,780987,60,6.76,15376,0.083,Pass
Person 0107,33,High School Teacher,517714,850,Axis Bank,Medical Emergency,492396,12,8.92,43042,0.998,Rejected
Person 0108,21,University Student,106907,827,ICICI Bank,Wedding Expenses,885323,48,6.13,20845,2.34,Rejected
Person 0109,36,Doctor,1127166,830,State Bank of India,Debt Consolidation,651153,60,7.93,13181,0.14,Pass
